[1] 480m:0s to go...
---- Running throughput benchmarks (higher is better) ----
           OptimistAtomicQueueB2, 7,i:  42,215,316 msg/sec
           OptimistAtomicQueueB2, 8,s:  41,846,732 msg/sec
           OptimistAtomicQueueB2, 8,i:  44,680,226 msg/sec

---- Running ping-pong benchmarks (lower is better) ----
     boost::lockfree::spsc_queue: 0.000000130 sec/round-trip
          boost::lockfree::queue: 0.000000304 sec/round-trip
                pthread_spinlock: 0.000000273 sec/round-trip
   moodycamel::ReaderWriterQueue: 0.000000118 sec/round-trip
     moodycamel::ConcurrentQueue: 0.000000245 sec/round-trip
                 tbb::spin_mutex: 0.000000243 sec/round-trip
   tbb::concurrent_bounded_queue: 0.000000302 sec/round-trip
                     AtomicQueue: 0.000000162 sec/round-trip
                    AtomicQueueB: 0.000000178 sec/round-trip
             OptimistAtomicQueue: 0.000000154 sec/round-trip
            OptimistAtomicQueueB: 0.000000142 sec/round-trip
                    AtomicQueue2: 0.000000176 sec/round-trip
                   AtomicQueueB2: 0.000000181 sec/round-trip
            OptimistAtomicQueue2: 0.000000172 sec/round-trip
           OptimistAtomicQueueB2: 0.000000148 sec/round-trip

[2] 479m:2s to go...
---- Running throughput benchmarks (higher is better) ----
     boost::lockfree::spsc_queue, 1,s:  69,423,317 msg/sec
     boost::lockfree::spsc_queue, 1,i:  69,309,067 msg/sec
          boost::lockfree::queue, 1,s:   7,968,256 msg/sec
          boost::lockfree::queue, 1,i:   7,871,492 msg/sec
          boost::lockfree::queue, 2,s:   7,553,827 msg/sec
          boost::lockfree::queue, 2,i:   7,573,276 msg/sec
          boost::lockfree::queue, 3,s:   7,387,692 msg/sec
          boost::lockfree::queue, 3,i:   7,608,150 msg/sec
          boost::lockfree::queue, 4,s:   6,427,458 msg/sec
          boost::lockfree::queue, 4,i:   6,808,732 msg/sec
          boost::lockfree::queue, 5,s:   6,423,802 msg/sec
          boost::lockfree::queue, 5,i:   6,481,578 msg/sec
          boost::lockfree::queue, 6,s:   6,000,298 msg/sec
          boost::lockfree::queue, 6,i:   6,114,093 msg/sec
          boost::lockfree::queue, 7,s:   5,909,950 msg/sec
          boost::lockfree::queue, 7,i:   5,958,736 msg/sec
          boost::lockfree::queue, 8,s:   5,527,917 msg/sec
          boost::lockfree::queue, 8,i:   5,516,802 msg/sec
                pthread_spinlock, 1,s:  26,443,175 msg/sec
                pthread_spinlock, 1,i:  25,470,071 msg/sec
                pthread_spinlock, 2,s:  15,352,721 msg/sec
                pthread_spinlock, 2,i:  15,670,151 msg/sec
                pthread_spinlock, 3,s:   8,298,385 msg/sec
                pthread_spinlock, 3,i:  11,994,765 msg/sec
                pthread_spinlock, 4,s:   6,490,351 msg/sec
                pthread_spinlock, 4,i:   9,025,928 msg/sec
                pthread_spinlock, 5,s:   8,578,830 msg/sec
                pthread_spinlock, 5,i:   8,890,910 msg/sec
                pthread_spinlock, 6,s:   8,386,421 msg/sec
                pthread_spinlock, 6,i:   8,443,221 msg/sec
                pthread_spinlock, 7,s:   7,989,026 msg/sec
                pthread_spinlock, 7,i:   7,757,063 msg/sec
                pthread_spinlock, 8,s:   6,862,292 msg/sec
                pthread_spinlock, 8,i:   7,236,777 msg/sec
   moodycamel::ReaderWriterQueue, 1,s:  82,737,156 msg/sec
   moodycamel::ReaderWriterQueue, 1,i:  71,168,892 msg/sec
     moodycamel::ConcurrentQueue, 1,s:  22,252,325 msg/sec
     moodycamel::ConcurrentQueue, 1,i:  21,442,208 msg/sec
     moodycamel::ConcurrentQueue, 2,s:  13,145,867 msg/sec
     moodycamel::ConcurrentQueue, 2,i:  13,124,858 msg/sec
     moodycamel::ConcurrentQueue, 3,s:  12,329,191 msg/sec
     moodycamel::ConcurrentQueue, 3,i:  12,665,862 msg/sec
     moodycamel::ConcurrentQueue, 4,s:  12,038,611 msg/sec
     moodycamel::ConcurrentQueue, 4,i:  12,617,948 msg/sec
     moodycamel::ConcurrentQueue, 5,s:  13,756,191 msg/sec
     moodycamel::ConcurrentQueue, 5,i:  14,743,921 msg/sec
     moodycamel::ConcurrentQueue, 6,s:  14,836,648 msg/sec
     moodycamel::ConcurrentQueue, 6,i:  16,606,945 msg/sec
     moodycamel::ConcurrentQueue, 7,s:  15,424,900 msg/sec
     moodycamel::ConcurrentQueue, 7,i:  16,460,316 msg/sec
     moodycamel::ConcurrentQueue, 8,s:  15,628,666 msg/sec
     moodycamel::ConcurrentQueue, 8,i:  17,980,706 msg/sec
                 tbb::spin_mutex, 1,s:  37,881,634 msg/sec
                 tbb::spin_mutex, 1,i:  33,092,269 msg/sec
                 tbb::spin_mutex, 2,s:  18,341,111 msg/sec
                 tbb::spin_mutex, 2,i:  18,692,179 msg/sec
                 tbb::spin_mutex, 3,s:   7,837,929 msg/sec
                 tbb::spin_mutex, 3,i:  10,472,856 msg/sec
                 tbb::spin_mutex, 4,s:   3,079,756 msg/sec
                 tbb::spin_mutex, 4,i:   6,387,760 msg/sec
                 tbb::spin_mutex, 5,s:   5,550,103 msg/sec
                 tbb::spin_mutex, 5,i:   5,861,792 msg/sec
                 tbb::spin_mutex, 6,s:   5,357,164 msg/sec
                 tbb::spin_mutex, 6,i:   4,363,574 msg/sec
                 tbb::spin_mutex, 7,s:   4,821,202 msg/sec
                 tbb::spin_mutex, 7,i:   4,294,257 msg/sec
                 tbb::spin_mutex, 8,s:   3,797,487 msg/sec
                 tbb::spin_mutex, 8,i:   4,037,676 msg/sec
   tbb::concurrent_bounded_queue, 1,s:  13,087,831 msg/sec
   tbb::concurrent_bounded_queue, 1,i:  13,142,848 msg/sec
   tbb::concurrent_bounded_queue, 2,s:  12,389,974 msg/sec
   tbb::concurrent_bounded_queue, 2,i:  12,353,932 msg/sec
   tbb::concurrent_bounded_queue, 3,s:  11,224,202 msg/sec
   tbb::concurrent_bounded_queue, 3,i:  11,521,124 msg/sec
   tbb::concurrent_bounded_queue, 4,s:  10,010,384 msg/sec
   tbb::concurrent_bounded_queue, 4,i:  10,269,588 msg/sec
